text,prediction
" Familiarity with the strengths and weaknesses of wider toolsets such as PowerQuery, ADF, Databricks, dbt",Familiarity | knowledge_skills | the strengths && Familiarity | knowledge_skills | weaknesses of wider toolsets && Familiarity | knowledge_skills | PowerQuery && Familiarity | knowledge_skills | ADF && Familiarity | knowledge_skills | Databricks && Familiarity | knowledge_skills | dbt
 Familiar with agile delivery framework,Familiar | knowledge_areas | agile delivery framework
" Experience working with machine learning or predictive models, e",Experience | Experience_skills | working with machine learning or predictive models
" Knowledgeable â€“ proactively upskilling, adaptable,",Knowledgeable | knowledge_skills | proactively upskilling && Knowledgeable | knowledge_skills | adaptable
Degree in a mathematical/analytical related discipline or equivalent,Degree | degree_in | a mathematical / analytical related discipline && Degree | degree_in | equivalent
 Ability to analyse and extract information from large data sets,Ability | knowledge_skills | analyse and extract information from large data sets
 A technical ability using software (SQL/R or other coding languages),A technical ability | knowledge_skills | using software ( SQL / R or other coding languages )
 Knowledge of distressed debt,Knowledge | knowledge_skills | distressed debt
 Recent industry experience in a Data Analysis role having worked with large sets of data,Recent industry experience | Experience_skills | a Data Analysis role having worked with large sets of data
 Proficiency in the use of a statistical programming language such as Python or R for the purpose of Data Analysis,Proficiency | knowledge_skills | the use of a statistical programming language && Proficiency | knowledge_skills | Python && Proficiency | knowledge_skills | R for the purpose of Data Analysis
